COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C147	A	8,8	7,5	8,5	9,5	9,5	0	0	0	0
C149	A	9	8,8	8,2	9,2	9,5	0	0	0	0
C150	A	7,7	7,8	7	7,5	8	0	0	0	0
C151	A	9	9,3	8,4	8,6	9	0	0	0	0
C046	A	8,8				8,8	0	0	0	0
C001	A	8,3					0	0	0	0
C153	A	8,8					0	0	0	0
C154	A	9,3					0	0	0	0
C155	A	9,2					0	0	0	0
C156	A	9,4					0	0	0	0
C002	A	7,6					0	0	0	0
C157	A	8,1					0	0	0	0
C003	A	8,8					0	0	0	0
C158	A	7,4	7,3	8	7,6	6	0	0	0	0
C159	A	8,3	8,5	10	6	8	0	0	0	0
C160	A	8,9	10	9,5	8,5	7,1	0	0	0	0
C164	A	9,4	10	9,9	9,6	7,5	0	0	0	0
C165	A	7,8	8,9	10	8	3,5	0	0	0	0
C166	A	7,1	8,2	10	7,2	2,5	0	0	0	0
C167	A	7,7	6,7	10	5,9	7,6	0	0	0	0
C161	RF	0					0	0	0	0
C162	A	8,7	9,4	10	10	4,4	0	0	0	0
C004	RN	3,5	3,7	5,6	7,3	4,4	0	0	0	0
C006	A	7,3	7,5	8	5,5	7	0	2	8	0
C007	RN	2,5	3,6	2	0	2,4	0	0	12	14
C042	A	5,4	2,4	5,05	8,07	4,32	0	0	0	0
C012	A	6,3	6,5	5,3	9	3,6	2	0	6	0
C053	A	7,3	6,5	6,5	6,5	8,5	2	2	0	0
C054	A	5,8	2,8	5,3	6,9	5,4	0	0	0	0
C056	A	7,4	5,2	6,1	8,5	10	0	0	0	0
C055	A	9,2	9,1	9,4	10	7	0	0	1	0
C177	RN	1,3					0	0	0	0
C057	A	7,9	6,6	9,7	7,7	6,6	4	8	16	6
C052	A	7	4,2	3,8	10	9	2	0	0	0
C058	RN	2	4,7	2,5	4,5	3,4	0	2	8	24
C044	A	7,9	6,9	7,3	7,5	10	0	0	0	0
C037	A	6,3					0	0	0	0
C059	A	7,6	8,2	6,6	8,2	6,5	0	0	0	0
C111	A	8,2					0	0	0	0
C198	A	7,2	8,88	6,5	7,2	5,1	0	4	0	2
C125	A	7,2	9,16	7,29	7,27	3,96	2	2	2	0
C186	A	8,1	7,4	7,3	9,2	7,1	1	0	2	1
C066	A	7,4	6,4	6,6	8,6	6,7	0	2	2	0
C013	A	6,3	6,9	5,7	4	8,5	0	0	0	0
C061	A	6,5	6,3	6,5	6,2	7	2	2	2	0
C062	A	7	8,1	5,6	6,78	7,5	4	2	0	4
C106	A	6,4	6,4	1,6	7,1	1,5	0	0	0	0
C069	RN	4,9	5,4	4,2	7,1	2,8	0	12	2	6
C070	RN	4,2	3,2	3,2	6,4	1,9	4	2	4	4
C107	A	6	10	0,5	1,5	9,7	4	8	8	0
C018	A	6	5,7	4,4	8,62	5,3	0	6	2	2
C032	RF	1,2	1,68	3,04	0	0	10	24	34	26
C108	A	7,4	1,8	7,46	8	8,75	2	8	6	2
C109	A	8,3	8,3	7,58	8,8	8,6	8	6	12	8
C069	RF	2,7	2,9	5,1	2,9	0	6	10	18	8
C029	A	A				A	0	0	0	0
C016	A	6,6	7,4	7,54	3,6	8	6	4	6	4
C032	RF	3	2,47	5,1	4,2	0	10	14	22	22
C117	RN	3,1	4,5	4	3,9	0	12	12	10	44
C076	RN	4,5	7	5	6		6	4	6	3
C078	RN	3,1	3,52	4,4	3,6	0	2	0	0	0
C343	A	6,9	6,64	5,57	9,25	6	8	4	10	2
C118	RN	3,2	6,1	4,6	2,32	0	4	6	4	14
C085	RN	0,4					0	0	0	0
C119	RN	0	0	0	0	0	4	8	2	0
C105	C	0					0	0	0	0
C124	C	0					0	0	0	0
C114	RN	5,9	6,7	5,5	6,4	5	10	6	6	6
C163	A	7,8	8,7	8,6	8,5	4,2	0	0	0	0
C168	A	9,3	7,5	10	10	9	0	0	0	0
C169	A	9,7	9,8	10	9	10	0	0	0	0
C170	A	9,2	8,7	10	9,4	7,4	0	0	0	0
C171	A	9,1	9,4	8,8	9,1	8	0	0	0	0
C173	A	7,4	7	8,6	8	5	0	0	0	0
C174	A	8,3	9,7	7,2	6,4	9	0	0	0	0
C175	A	9,4	8,8	9,8	9,8	8	0	0	0	0
C172	A	8,2	8	8,3	8,8	8	0	0	0	0
C176	A	7	5	7	7,5	8,5	0	0	0	0
C161	RF	0					0	0	0	0
C256	RF	2,4				2,4	0	0	0	0
C257	A	8,7	8,8	8,6	9	8,5	0	0	0	0
C258	A	9,2	9,6	10	8	9,5	0	0	0	0
C259	A	7,9	9	8,2	6	8,7	0	0	0	0
C260	A	9,1	8,6	9	9	10	0	0	0	0
C288	A	8,9	8,2	10	9,3	8,4	0	0	0	0
C045	A	9,2	9,9	7,3	9,6	10	0	0	0	0
C161	A	0					0	0	0	0
C256	A	8,9				2,4	0	0	0	0
C001	A	7,8	7	7,5	9,4	7,5	0	0	0	0
C153	A	6,1	9	8	7	3	0	0	0	0
C154	A	7	8,4	8,9	6,6	4,1	0	0	0	0
C155	RN	2,3	8	5,1	4	2	0	0	0	0
C156	A	7,6	8,5	9,3	4,8	4,2	0	0	0	0
C002	A	8,1	7	9,5	8	8	0	0	0	0
C155	A	5	7,2	6,1	6,8	4,7	0	0	0	0
C157	A	5,3	3,5	7,5	5,6	8	0	0	0	0
C158	A	7,3	7,5	9,6	6,3	5,8	0	0	0	0
C159	A	5	4,8	5,8	8,5	6,5	0	0	0	0
C003	RN	2,5	6,8	7	2	4,8	0	0	0	0
C160	RN	1,3	2,5	3	0	0	0	0	0	0
C003	A	5,4	5,7	5,1	6,5	6,7	0	0	0	0
C160	A	5	4,3	4,5	5,8	4	0	0	0	0
C169	A	7,3	6,2	7,6	7,4	7,9	0	0	0	0
C163	A	7,6	6	8,4	7,9	7,9	0	0	0	0
C165	A	8,4	7,8	8,5	7,5	9,7	0	0	0	0
C166	A	7,8	8,5	7,1	9,1	6,3	0	0	0	0
C167	RF	2,4	2,5	6	1	0	0	0	0	0
C013	A	8,2	8,8	8,8	10	5,2	0	0	0	0
C179	A	7	9,2	6,8	7,1	4,9	0	0	0	0
C029	RF	0					0	0	0	0
C134	A	5,1	6,5	4,5	6,3	8	0	0	0	0
C135	A	5,1	4,9	1,5	8,3	6,2	0	0	0	0
C004	RN	3,8	4,8	3,2	8,6	7,5	0	2	0	0
C006	A	6,6	5,5	7	5	6	2	2	0	0
C007	RN	2,8	1,8	2	2,4	3	2	0	4	8
C042	A	5,4	6,74	5,27	7,35	3,92	0	0	0	0
C012	RN	3,8	2,7	5,4	7,8	4,6	0	2	0	4
C053	A	7,9	6,5	3	6,5	6,5	2	2	2	2
C054	A	6,1	7,5	6,2	7,5	5,8	0	0	0	0
C056	A	7,8	4,2	9,2	8	10	0	0	0	0
C055	A	8,9	7	10	9,5	8	0	0	0	1
C177	RN	1,3					0	0	0	0
C057	RN	4,4	2,7	9	8,3	3,5	4	4	2	4
C052	RN	3,7	7,5	4,5	5	7,8	0	0	0	0
C058	A	7	3,8	6,5	7,7	10	0	4	2	4
C044	A	7,6	7,8	6,7	7,9	7	0	0	0	0
C037	A	7,2					0	0	0	0
C059	A	7,8	8,6	6,6	8,2	7	0	0	0	0
C043	A	8,9					0	0	0	0
C067	A	5	4,4	3,7	6	5,1	0	0	0	0
C101	RN	3,9	4	9,1	4,3	7	4	2	2	0
C066	A	6	7	7	3,3	6,7	6	16	8	8
C198	RN	2,8	2,6	2,7	3,5	0	4	14	20	6
C100	RN	2,8	5,9	1,8	2,8	0,7	2	0	0	0
C198	RN	0	0	0	0	0	14	20	20	22
C125	C	0	0	0	0	0	2	0	0	0
C100	C	0					8	0	0	0
C101	RF	0					18	20	8	2
C013	RN	3	8	3,9	0	0	10	0	0	0
C061	RN	1,1	2,3	2	0	0	8	4	8	0
C062	RF	0	0	0	0	0	10	16	12	12
C106	RN	0	0	0			18	0	0	0
C070	RF	0	0				44	36	36	36
C061	RN	0	0	0	0	0	16	20	13	18
C062	RF	0	0	0	0	0	18	20	14	14
C198	RF	0					24	46	24	48
C125	RF	0					28	30	28	14
C100	RN	0	0	0			6	0	0	8
C070	RF	0	0	0	0	0	24	10	14	8
C013	RF	0	0	0	0	0	16	18	17	18
C247	RF	0,3	1	0	0	0	20	36	32	40
C329	RF	0,3	1	0	0	0	28	20	28	16
C291	RN	0,3	1,1	0	0	0	6	10	4	2
C268	RN	0,7	2	1			6	2	0	0
C344	RN	0	0	0	0	0	26	19	18	14
C345	RF	0	0	0	0	0	14	6	16	4
C346	RN	0	0	0	0	0	16	18	16	14
C136	A	5,4	5,2	4,5	7,2	5	0	0	0	0
C137	RN	1,8	6,2	1	0	0	0	0	0	0
C138	A	5	5,7	5,2	9	4,8	0	0	0	0
C139	A	7,4	6,4	7,6	7,8	7,9	0	0	0	0
C141	RF	0					0	0	0	0
C146	A	7,8	5	6,3	7,5	6	0	0	0	0
C149	A	6,3	6,5	6	5	8,8	0	0	0	0
C144	A	8,6	10	8,5	8,5	7	0	0	0	0
C145	A	8	4,5	9,5	8	10	0	0	0	0
C147	A	7,7	5,3	8,7	9	7,5	0	0	0	0
C148	A	7,1	6,5	5	8,5	8	0	0	0	0
C150	A	6,6	5,6	3	9	9	0	0	0	0
C151	A	7,3	4,8	7,2	9	8	0	0	0	0
C046	RF	0	0	0	0	0	0	0	0	0
C122	A	5,7	6,5	3	4,6	1,6	0	0	0	0
C137	A	5	6,2	1	0	0	0	0	0	0
C046	A	7,3				7,3	0	0	0	0
C141	A	0					0	0	0	0
C001	A	9,5	9,7	8,3	10	10	0	0	0	0
C002	A	9	10	8,7	8,5	9	0	0	0	0
C003	A	7,6	9,1	9,2	8,1	4	0	0	0	0
C004	A	7,8	9	6,1	9,2	7	0	0	0	0
C005	A	8	9,2	9,5	8,5	4,9	0	0	0	0
C006	A	8	9,6	7,6	8,5	6,3	0	0	0	0
C007	A	8,2	9	8,6	8	7,3	0	0	0	0
C008	A	8,2	8,3	10	6,5	8	0	0	0	0
C165	A	8,5	7	9,3	8	10	0	0	0	0
C160	A	8,1	6	8,3	8,8	8	0	0	0	0
C166	A	8,2	10	7,5	6,4	7,6	0	0	0	0
C167	A	5,7	6,7	5	6,5	4,3	0	0	0	0
C057	A	8	6,2	8,4	8,8	7,2	0	0	0	0
C179	A	7,8	4,9	8,8	7,8	9	0	0	0	0
C180	A	8,7	7,6	8	9,4	8,9	0	0	0	0
C169	A	7,9	7,7	7	7,1	9,8	0	0	0	0
C163	A	8,3	8,6	6,8	7,8	9,8	0	0	0	0
C173	A	7,2	6	6	8,5	8,2	0	0	0	0
C168	A	7,6	7,1	7,5	8,5	7	0	0	0	0
C175	A	8,3	9,3	8,8	8,8	6,2	0	0	0	0
C013	A	7,8	7,3	9	9,5	5,2	0	0	0	0
C347	A	9	9,7	10	9,2	7,1	0	0	0	0
C348	A	8,4	9	8,5	7,8	8	0	0	0	0
C029	RF	0					0	0	0	0
C349	A	8,1	8,7	7	8,3	8,2	0	0	0	0
C141	A	0					0	0	0	0
C350	A	8,1	10	6,2	6,3	10	0	0	0	0
C145	A	7,5	7,4	8,6	8,2	5,8	0	0	0	0
C146	A	7,4	8,8	8,2	7	5,5	0	0	0	0
C004	RN	2,6	2,4	1	4,7	0,5	0	2	0	0
C006	A	5	4	3,5	2,5	6	0	0	2	2
C007	RN	1,4	2,1	1,8	0,2	0	0	2	6	12
C012	RN	2,1	2	5,1	5,1	3,1	0	2	2	4
C053	A	5	5,5	2,5	3,5	4,5	0	0	0	0
C056	RN	2,9	0,9	5,9	3,3	0,5	0	0	0	0
C055	RN	3,1	7,1	1	7,4	10	0	0	0	0
C042	RN	3,9	8,3	3,07	4,2	2,1	0	0	0	0
C054	RN	4,7	5,1	4,7	2,4	3,8	0	0	0	0
C177	RN	1,1					0	0	0	0
C057	RN	3,4	2,7	8,2	6,3	4,4	8	2	6	6
C052	RN	1	1,5	2,5	0	0	0	0	0	0
C058	RF	0,8	3,5	0	0	0	0	4	20	34
C044	RN	0,4	0,9	0,8	0	0	2	0	0	0
C037	RN	4,1					0	0	0	0
C059	RN	2	2,9	1,3	0	4	2	0	0	0
C043	A	5					0	0	0	0
C266	RN	2,7	6	5	0	0	4	0	8	4
C198	RN	1,7	2,82	2,31	0	0	0	6	0	2
C125	RN	0,9	0,75	0,99	0	0	0	2	0	0
C100	RN	1,5	2,6	1,6			0	0	0	10
C186	RN	1,5	3	1	0	0	0	0	0	0
C198	RN	0,3	0	0	0	1	8	20	22	12
C103	RF	0					2	4	6	2
C126	RF	0	0	0	0	0	6	10	16	14
C068	RF	0	0	0	0	0	4	14	14	14
C104	RN	0					0	0	0	0
C112	RN	0					0	0	0	0
C004	RN	3,2	2,8	1,7	3,1	5	0	2	0	0
C006	RN	2	5	5,5	2,5	3	0	8	4	4
C007	RN	2,6	3,7	1,3	2,3	3	2	2	8	8
C012	RF	2,4	5,5	2,1	2	0	0	2	10	16
C053	RN	2,2	5,5	7	2,5	3	2	2	6	2
C056	RN	3,4	4,1	1,9	5,1	2,6	0	0	0	0
C055	RN	2,2	7	7,6	3,4	0	0	0	0	1
C042	RN	2,9	8,4	3,55	6,79	5,09	0	0	0	0
C054	RN	2,6	5,7	4,7	5,6	4,9	0	0	0	0
C177	RN	0					0	0	0	0
C095	RN	2	4	5,5	3	4	0	2	0	2
C096	RN	2,7	1,5	4,2	2,9	2,2	0	0	10	6
C097	RN	2,5	10	10	0	0	0	0	1	0
C098	RF	1,6	1,2	2,8	0	2,7	0	3	42	32
C099	RF	1,1	1,5	2,8	0	0,3	5	18	58	36
C100	RN	1	0	3	1	0	0	8	4	24
C004	RN	3,7	3,1	0,9	4,7	5	0	2	0	0
C006	A	5,1	5,5	3,5	6,5	3	0	2	0	0
C007	RN	1,8	2	1,2	0,1	3	0	0	10	6
C042	A	5,7	8,19	4,52	8,35	0,82	0	0	0	0
C012	RN	3,1	2,5	1,1	3,5	4,1	0	10	6	2
C053	A	6,2	5,5	2,5	6	3	4	2	4	0
C054	RN	3,2	4,2	3,5	4,1	1	0	0	0	0
C056	A	5,4	4,5	3,8	5,5	10	0	0	0	0
C055	A	7	6	2	10	10	0	0	0	1
C177	RN	0,9					0	0	0	0
C057	T	 	0,5	1,5			6	12	10	0
C052	T	 	0,2	0,8			0	0	0	0
C058	T	 	3	0			2	12	14	0
C044	T	 	0	4,1			0	0	0	0
C037	T	 					0	0	0	0
C059	T	 	0	0,5			0	0	0	0
C043	T	 					0	0	0	0
C004	RN	3,4	3,7	2	2	4	0	6	2	0
C006	A	6,8	6,5	5	4	4	0	2	0	0
C007	A	5	3,2	2	6,2	4,8	0	2	12	6
C042	A	7,2	7,46	7,1	7,8	6,48	0	0	0	0
C012	RN	3,8	2,5	3,6	2	5,1	0	4	10	0
C053	A	6,6	7,5	4	3,5	6,5	0	4	2	0
C054	A	7,9	7,3	6,3	5,7	6,5	0	0	0	0
C056	A	8,3	7,2	7,6	8,5	10	0	0	0	0
C055	A	9,8	10	10	10	8	0	0	0	1
C177	RN	1,4					0	0	0	0
C057	RN	3,7	1,2	4,9	8,8	2	10	2	8	12
C052	RN	2,1	0,1	3,8	3,6	0	2	0	0	0
C058	RF	4,8	4,6	0,8	6,5	6,5	2	4	6	34
C044	RN	1,3	0	0,2	4	0	0	0	0	0
C037	A	7,4					0	0	0	0
C059	A	8,4	8,8	8,4	9	6,5	2	0	0	0
C043	A	8,2					0	0	0	0
C100	RF	0	0	0	1,2	1,7	16	28	36	34
C067	RF	0	0	0	0	0	12	38	34	28
C101	RF	0,4		1,8	0		8	19	12	6
C186	RN	2	3	4	1	0	2	6	4	4
C066	A	7,4	7	6,2	7,7	8,7	12	6	10	4
C013	A	7,6	8,4	5,5	6,5	10	0	0	0	0
C061	A	8,1	8	8,6	6,3	9,33	2	6	0	0
C029	A	A				A	0	0	0	0
C062	A	6,3	6,5	7,08	2,1	9,3	2	4	6	2
C106	A	6,3	7,2	1,2	3,5		2	0	0	0
C126	RN	2,6	3,2	0,6	4,23	0	0	0	0	2
C070	RF	1,9	3,9	2,8	1		2	8	10	38
C079	RN	0,3	1,1	0	0	0	6	6	6	6
C267	T	 	8	1,6	0	0	4	14	0	0
C198	T	 	2,1	0			22	26	2	0
C100	T	 	0	0			12	24	2	0
C067	T	 	2,6	0			4	6	0	0
C079	T	 	0	6,85	0	0	0	6	0	0
C004	RN	3,3	2,4	1,3	3	5,8	0	0	0	0
C006	A	5	7,5	6,5	4	6	0	0	0	0
C007	RN	2,2	2,4	1,3	0,6	3,7	0	0	2	4
C042	A	7,4	9,14	5,9	8,52	6,4	0	0	0	0
C012	RN	2	2,6	4,1	3,5	5,1	0	2	0	0
C053	A	7,7	6,5	8	7,5	9	0	0	0	0
C054	A	7,7	9,6	7,3	7,5	6,5	0	0	0	0
C056	A	8,9	7	10	8,8	10	0	0	0	0
C055	A	5	7	4	5	0	0	0	0	0
C177	RN	0					0	0	0	0
C057	RN	2	4,9	5	1,9	4,2	0	0	0	1
C052	RN	2	4,4	2,7	4,2	4,7	0	0	0	0
C058	RN	2,9	3	2,3	1,5	4,8	0	0	4	4
C044	RN	3,8	5,5	7,7	3,7	4,9	0	0	0	0
C037	A	8					0	0	0	0
C059	RN	2	2	2	0	4	0	0	0	0
C043	A	7,6					0	0	0	0
C351	RN	3,8	1,2	4,3	4	6	2	2	2	0
C352	RN	3,1	2,4	1,6	6,4	1,6	2	2	0	0
C353	RN	2,8	0,9	2	2	5,7	6	6	2	0
C354	RN	3,1	2,6	3	5	1,3	4	2	4	0
C355	RN	3,5	5,7	2,8	5,8	6	6	6	2	2
C356	RN	3,2	3	0,6	4,8	4,4	8	4	1	0
C357	A	5,5	6	7,1	3,3	5,8	0	0	0	0
C358	A	5,6	6,58	4,95	7,1	4,2	0	0	0	0
C177	RN	0					0	0	0	0
C355	RN	3,6	5,2	2,3	5,5	4,1	0	0	2	4
C359	RN	3,5	4,7	1,3	4,7	3,5	0	0	2	0
C360	RN	2,6	3,5	4,5	6,2	4,7	0	2	1	1
C361	A	A				A	0	0	0	0
C098	RN	3,5	3,6	3,9	2,7	3	0	6	14	17
C099	RN	3,3	2,8	2,8	1,5	2,8	0	4	6	14
C100	RN	1,6	2,2	0,9	0,2	0,5	0	0	4	6
C355	RN	3	1,5	4	4,3	2,5	2	2	2	4
C359	RN	2,9	2,3	1,7	3,8	4	5	2	2	6
C198	RN	3	3,7	3,14	3,49	0	4	18	12	8
C125	RF	0,7	0	0	0	0	8	18	16	24
C100	RN	2,2	5	1,1	3,1	4,1	4	18	2	4
C332	RN	0	0	0			0	0	0	0
C103	RN	2,5	0	2,5	7	9	0	2	0	0
C198	RN	0,7	1,7	0,9			18	11	22	36
C125	RN	0,8	2,16	0,6	0	0	24	16	22	22
C100	RF	1,2	1,8	2,8	0	0	22	15	22	40
C332	RN	0,7					0	0	0	0
C103	RF	4,3	9	8			4	4	2	4
C332	RN	0,7					0	0	0	0
C266	RF	R				R	2	8	4	12
C267	RN	0	0	0	0	0	14	20	18	18
C198	RF	0,1	0	0	0,5	0	32	44	32	40
C125	RF	0	0	0	0	0	32	32	26	30
C100	RF	0	0				26	18	8	20
C332	RN	0					0	0	0	0
C127	RF	0	0	0	0	0	12	12	10	20
C147	A	8,7	9,2	10	10	5,5	0	0	0	0
C148	A	8,5	7,8	8,5	9,3	8,3	0	0	0	0
C149	A	8,1	8,5	8,5	8,3	7	0	0	0	0
C150	A	7	9,8	6,6	7,6	4	0	0	0	0
C151	A	7,9	7,3	7	9	8	0	0	0	0
C046	A	9,4				9,4	0	0	0	0
C001	D	5,1					0	0	0	0
C153	D	5,5					0	0	0	0
C154	D	6					0	0	0	0
C156	D	7,2					0	0	0	0
C157	D	5,1					0	0	0	0
C155	A	7					0	0	0	0
C002	A	7,7					0	0	0	0
C001	A	5,1					0	0	0	0
C153	A	5,5					0	0	0	0
C154	A	6					0	0	0	0
C156	A	7,2					0	0	0	0
C158	RN	4,3					0	0	0	0
C159	A	6,6					0	0	0	0
C003	A	7,5					0	0	0	0
C160	RF	2,8					0	0	0	0
C161	RF						0	0	0	0
C162	A	5,8					0	0	0	0
C163	A	7					0	0	0	0
C164	A	5,35					0	0	0	0
C165	A	7,9					0	0	0	0
C166	A	7,5					0	0	0	0
C167	A	7,3					0	0	0	0
C168	RN	4,1					0	0	0	0
C158	A	7	9,4	8,4	5,5	4,8	0	0	0	0
C160	A	5,1	5,5	4,5	6	3,7	0	0	0	0
C168	A	5,3	6,4	3,5	3	4	0	0	0	0
C169	A	8,7	8,5	10	8,5	7,5	0	0	0	0
C170	A	7,4	5	7,5	10	7	0	0	0	0
C171	A	7,3	5,3	6,7	7,9	9	0	0	0	0
C172	A	7,3	5	6,6	7,9	9,7	0	0	0	0
C173	A	6	5,4	5,5	4,5	8,5	0	0	0	0
C174	A	8,2	8,5	9	6,2	9	0	0	0	0
C175	A	7,4	4,5	7,7	7,6	9,6	0	0	0	0
C176	A	7,7	7	8	7,5	8	0	0	0	0
C161	A	0					0	0	0	0
C362	A	8,7	9,5	8	8,5	9	0	0	0	0
C256	A	7				7	0	0	0	0
C257	A	8,5	9	8	9	8	0	0	0	0
C258	A	7	7,1	5,2	7,6	5,6	0	0	0	0
C259	A	7,6	8	8,5	7,5	6,5	0	0	0	0
C260	A	8,1	8,5	7	8	9	0	0	0	0
C045	A	7,7	8	7,5	7,7	7,7	0	0	0	0
C279	A	8	4,5	8,5	10	7,8	0	0	0	0
C120	A	7,6	6,8	8,6	7,4	6,7	0	0	0	0
C143	A	7,7	9,3	8,2	7,6	4,5	0	0	0	0
C130	A	7,6	6,1	5,3	10	7,8	0	0	0	0
C131	A	8,3	10	10	8,4	3,6	0	0	0	0
C121	A	7,9	8	7,2	8	7,5	0	0	0	0
C057	A	8,8	9,6	8,3	8,6	7,5	0	0	0	0
C052	A	7,5	8,1	5	7,5	8,2	0	0	0	0
C058	A	8,7	5,5	9,6	10	8,5	0	0	0	0
C044	A	7,6	7,8	8,4	7,9	5,4	0	0	0	0
C059	A	7,6	8,1	7,7	8	5,7	0	0	0	0
C037	A	8,7	9,2	8,3			0	0	0	0
C043	A	8,1	7	8			0	0	0	0
C056	A	9,7	9,5	9,5			0	0	0	0
C013	A	7,7	9	6,7	6,1	8	0	0	0	0
C014	A	8,4	7,4	7,7	8,6	9	0	0	0	0
C015	A	7,5	7,4	7	7,8	7	0	0	0	0
C016	A	8,8	7,7	8,5	9	9,5	0	0	0	0
C017	A	7,5	8,6	6,7	8	5,9	0	0	0	0
C018	A	7,4	6,5	7	6,3	9	0	0	0	0
C019	A	7,6	8,4	10	6,8	4,2	0	0	0	0
C029	A	0					0	0	0	0
C030	A	7,6	7,9	7	7,5	7	3	3	4	0
C031	A	8,8	8,5	8,5	8,5	9	0	0	2	0
C032	A	9,2	8,6	9,7	9,5	8	6	2	8	8
C033	A	9,3	9,7	9	8,8	9	2	0	0	4
C034	A	9,1	8,4	10	8,3	9,2	8	6	2	5
C035	A	7,8	8	7,5	6,5	8	1	2	6	4
C036	A	8,5	7,3	9	8	9	4	0	0	0
C042	A	7	8,4	5,6			0	0	0	0
C045	A	8,3	9,2	10	10	4	4	6	0	2
C046	A	8,5				8,5	0	0	0	0
C047	A	8,5	10	8,2	7,1	8,8	2	0	6	4
C049	A	7	8,5	6	5,5	8	4	4	8	0
C048	A	8	9,7	6,8	5,7	10	0	2	2	0
C004	RN	3,7	5,5	6,5	3,6	4,3	0	0	0	0
C006	A	6,5	6,9	4,2	7,3	3,7	0	0	0	0
C007	A	6,7	9,1	4,7	5,4	5,4	0	0	0	0
C012	RN	3,2	4,4	2,5	6,5	2,3	0	0	0	0
C004	A	8,3	6,1	8,6	8	8,2	0	0	0	0
C006	A	7,7	7,5	8	5,5	8,5	2	2	8	2
C007	A	7	7,8	4,1	6,3	7,5	2	0	2	2
C042	A	7,2	8,65	6,1	8,92	5,32	0	0	0	0
C012	A	8,3	7	8,4	9,2	6,5	0	0	4	2
C053	A	8,8	9	8,5	9	7,5	2	4	2	2
C054	A	7,1	9,5	6	6,9	6,3	0	0	0	0
C056	A	7,7	5,5	7	8,5	10	0	0	0	0
C055	A	8,1	6,4	7	9	9	0	0	0	0
C177	RN	1,4					0	0	0	0
C052	A	7,4	8	5,3	7,2	8,2	0	0	0	0
C058	A	7	5,5	4,5	8,3	9	0	0	0	0
C044	A	7,8	7,6	6,5	8,3	7,9	0	0	0	0
C037	A	8					0	0	0	0
C059	A	7,3	8,1	8	8,3	4	0	0	0	0
C043	A	8					0	0	0	0
C057	A	8,3	10	9,1	8,6	4,7	4	2	8	6
C013	T	 	5,2	1,9			0	0	0	0
C061	T	 	6,2	5			0	6	0	0
C062	T	 					0	0	0	0
C106	T	 	5,2	2,5			0	0	0	0
C063	T	 	4,2	9,8			0	0	0	0
C064	T	 	8,7	6,1			4	2	0	0
C066	T	 	4,6	5,2			2	2	0	0
C004	RN	2,9	4,3	5,6	6,8	4,5	0	0	0	0
C006	A	5,1	9,5	7,5	5	3,5	4	10	8	0
C007	RN	2,8	5,5	3,5	6,1	5,4	0	4	10	6
C042	A	6,1	9,12	7,9	6,77	3,15	0	0	0	0
C012	RF	5,1	7,5	5,3	5	0,5	0	2	6	16
C053	A	8,4	10	6,5	3	6,5	2	2	0	2
C054	A	6,2	2,4	7,9	6,1	5,7	0	0	0	0
C056	A	8,4	7,8	10	6	10	1	0	0	0
C055	A	8,7	8,3	9,2	9	7	1	0	0	1
C177	RN	1,4					0	0	0	0
C057	A	7,2	6,3	7,5	8,8	4,9	4	6	12	10
C052	A	7	6,1	5	8,6	7,2	0	0	0	0
C058	A	7,3	3,8	7,5	8,2	9,5	0	10	18	8
C044	A	7,1	5,5	7,5	5,5	10	0	0	0	0
C037	A	5,8					0	0	0	0
C059	A	8,1	7,7	7,3	9	7	2	0	0	0
C043	A	6,6					0	0	0	0
C007	A	5	7,4	0,9	8,6	6,5	10	12	18	0
C013	RN	4,3	7,5	3,8	5,7	6,2	0	0	0	0
C061	A	7,1	7,3	6,3	8	7,1	0	4	4	0
C062	A	8	8	8	8	8	0	0	0	0
C106	RN	4,6	8,5	3,6	2,8	5,4	0	2	0	0
C063	RN	2,7	3,8	3,1	6	9,1	4	14	12	2
C064	A	5	6,3	7,4	4,8	7,9	2	10	4	0
C066	A	6,2	5,4	2	7,4	7,1	0	8	6	0
C013	A	7,1	8,5	6	5,5	8,5	0	0	0	0
C107	A	6,3	4	4,2	7,5	9,4	0	0	0	0
C018	A	7,7	6	9,8	7,6	7,3	0	4	2	4
C032	RN	5,7	3,7	6,2	6	7	6	4	0	0
C108	RN	4,2	3,6	3	3,5	6,5	4	2	0	0
C109	A	7,9	8	6,5	8,5	8,5	0	0	0	0
C106	A	6,3	3,8	3,6	5	9,6	2	0	0	0
C079	RN	0	0	0	0	0	2	4	6	2
C336	A	8,5	9,4	7,6	9	8	0	2	0	0
C113	A	8,1	7,58	8,22	8,4	8,2	6	4	4	2
C032	RF	2	3,7	6,2	6	7	4	6	14	20
C363	A	7,7	9,1	4,1	9,4	8	2	10	4	12
C108	A	6,2	3,6	3	3,5	6,5	4	2	0	2
C364	A	8,6	8	7	10	9,4	2	0	2	0
C198	RF	2,3	4,7	2	2,5		8	46	12	36
C337	RF	0	0	0	0	0	2	6	6	20
C069	RF	1	4,1	0	0	0	8	22	28	30
C004	A	7,8	6,7	8,4	8,1	7,5	4	0	0	0
C006	A	8,1	9,5	9	9	5	2	4	0	2
C007	A	7,8	6,6	2,6	7,4	7,8	2	0	2	0
C042	A	7,3	8,74	7,75	7,24	5,6	0	0	0	0
C012	A	8,3	9,2	9,1	7	7,1	2	0	2	0
C053	A	8,6	10	9	9	6,5	1	2	0	0
