COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C073	A	6,3	3,15	7,5	5,72	8,6	0	0	0	2
C069	A	7,2	7	8,6	8,8	4,4	2	4	4	8
C070	A	6,9	8,12	6,76	6,62	6,2	6	4	10	6
C032	RF	1,4	3,23	1,8	0,49	0	0	1	23	21
C074	A	7,41	8,1	6,34	7,15	8,04	0	0	2	0
C075	RN	2,04	4,64	3	0,5	0	0	0	0	4
C076	A	6,8	8,5	7,8	4	7	0	0	2	0
C077	A	6,9	4,2	6,9	6,55	7,9	0	2	4	0
C078	RN	4,5	4,48	5,52	3,6	4,4	0	0	0	0
C079	A	6,3	7	5,6			0	0	0	0
C029	RN	R				R	0	0	0	0
C080	A	6,31	5,54	7,07			0	0	0	0
C081	A	6,3	8,3	4,3			0	4	0	0
C082	RN	5,87	5,72	6,02			0	0	0	0
C083	A	7,1	6,8	7,4			0	0	0	0
C084	A	0					0	0	0	0
C085	A	8,4					0	0	0	0
C086	RN	5,5	5,34	5,02			0	0	0	0
C087	C	0	8	0			4	0	0	0
C088	A	7	4,1	10			4	4	0	0
C089	A	6,3	5,7	7			4	0	0	0
C090	RN	4,6	4,4	4,8			4	0	0	0
C075	M						0	0	0	0
C091	M						0	0	0	0
C078	M						0	0	0	0
C092	M						0	0	0	0
C093	M						0	0	0	0
C094	M						0	0	0	0
C095	A	8,1	6,5	9	7,5	8	0	0	0	0
C096	A	8,1	9,5	4,3	9,4	7,8	0	3	0	0
C097	A	9,9	10	10	10	8,2	0	0	0	0
C098	A	7,2	6,4	6,3	6,9	5,8	0	4	4	2
C099	A	7,7	8,4	5	7,7	9	0	0	2	2
C100	A	7,6	3,8	6,8	7,1	7,9	0	0	0	0
C071	A	7,8	5,4	10	6	8	0	0	0	0
C067	A	7,6	5,8	8	9,5	5,5	0	0	0	0
C101	A	9,2	7,2	10	8,3	9,7	2	2	0	0
C102	A	7,1	9,4	4,7	7	5,7	0	0	1	0
C103	A	8,1	9	6,3	9	6,3	0	2	0	0
C065	A	7,6	6,2	6,5	7	9	0	0	0	0
C066	A	7,6	4,5	7,2	7,8	9	2	1	0	0
C104	A	7,1					0	0	0	0
C105	A	8,1					0	0	0	0
C013	A	7,7	8,7	5,7	8	8,5	0	0	0	0
C061	A	8,8	3	7,3	8	10	0	0	0	0
C062	A	6	5,09	7,56	7,5	4	0	0	0	0
C106	A	6	6,1	3,9	7,8	6,2	0	0	0	0
C072	A	6,6	8,5	5,5	7,5	5	0	0	0	0
C069	RN	5,7	4,6	4,5	6,9	6,7	0	0	0	0
C070	A	6,1	3,5	6,6	3,6	7	0	0	0	0
C107	A	6,6	6,99	5,5	6,49	7,25	0	2	2	0
C029	A	A				A	0	0	0	0
C018	A	9	10	9,5	8,37	7,9	0	0	0	0
C032	A	7,5	8,44	7,12	7,6	7	2	0	0	0
C108	A	8,8	8,22	9,3	8	9,6	0	2	0	0
C109	A	8,8	9,68	9,02	10	6,4	0	0	0	0
C069	RN	5,7	2,1	5,1	8,8	6,8	0	2	2	0
C110	A	6,8	2	3	4,3	10	0	0	0	2
C111	A	9					0	0	0	0
C112	A	8					0	0	0	0
C113	A	8,7	7,8	9,4	7,8	9,8	0	0	0	2
C114	A	8,4	8	7,3	10	8,3	0	0	0	2
C016	A	7,4	5,8	9,88	7,52	6,5	2	0	0	0
C115	A	A				A	0	0	0	0
C116	A	9,69	8,75	10	10	10	0	0	0	2
